drugbank_id,score,neg_log_score,trustrank,cmpdname,atc_code,atc_label
DB12010,6.024847282034262e-05,4.220053957119966,1,Fostamatinib,B02,Antihemorrhagics 
DB01268,5.261265829245396e-05,4.278909754606984,2,Sunitinib,L01,Antineoplastic agents 
DB09079,4.4915814704276894e-05,4.3476007184729175,3,Nintedanib,L01,Antineoplastic agents 
DB06616,4.150284723531237e-05,4.381922108199509,4,Bosutinib,L01,Antineoplastic agents 
DB08865,3.2248828688863665e-05,4.491486054771384,5,Crizotinib,L01,Antineoplastic agents 
DB08877,2.704362808350753e-05,4.56793504531361,6,Ruxolitinib,D11,Other dermatological preparations 
DB08877,2.704362808350753e-05,4.56793504531361,6,Ruxolitinib,L01,Antineoplastic agents 
DB05294,2.544634917929209e-05,4.5943745176502695,7,Vandetanib,L01,Antineoplastic agents 
DB06589,2.510462261200404e-05,4.600246302820049,8,Pazopanib,L01,Antineoplastic agents 
DB11828,2.400713201104888e-05,4.619659719417025,9,Neratinib,L01,Antineoplastic agents 
DB06626,2.3455917613009592e-05,4.629747572460102,10,Axitinib,L01,Antineoplastic agents 
DB14487,2.1538595492993505e-05,4.666782619957721,11,Zinc Acetate,A16,Other alimentary tract and metabolism products 
DB01593,2.15385954929935e-05,4.666782619957721,11,,,
DB00317,1.8548626666220725e-05,4.731688239868956,13,Gefitinib,L01,Antineoplastic agents 
DB00619,1.84680670541574e-05,4.733578557274585,14,Imatinib,L01,Antineoplastic agents 
DB14533,1.761712517120152e-05,4.754064959950494,15,,,
DB14548,1.668917415607036e-05,4.777565153334853,16,,,
DB08916,1.2362544449116616e-05,4.907892133900619,17,Afatinib,L01,Antineoplastic agents 
DB04315,9.189149872936772e-06,5.03672466517214,18,,,
DB13961,9.021356205757926e-06,5.044728168843611,19,,,
DB00313,7.730932646224004e-06,5.111768110392694,20,Valproic Acid,N03,Antiepileptics 
DB00843,7.677537251290427e-06,5.114778067689762,21,Donepezil,N06,Psychoanaleptics 
DB06757,7.385224417146266e-06,5.131636303107965,22,,,
DB00852,7.305622285663001e-06,5.136342785380712,23,Pseudoephedrine,R01,Nasal preparations 
DB00795,7.019894559761724e-06,5.153669411012297,24,Sulfasalazine,A07,"Antidiarrheals, intestinal antiinflammatory/antiinfective agents "
DB00188,6.581159434323673e-06,5.181697587910189,25,Bortezomib,L01,Antineoplastic agents 
DB00162,6.266660444555067e-06,5.202963836662909,26,Retinol,R01,Nasal preparations 
DB00162,6.266660444555067e-06,5.202963836662909,26,Retinol,S01,Ophthalmologicals
